Timestamp,PM2.5_Fidas200,LCS3*,PM2.5_BAM1020,LCS4*
2020-04-04T08:00:00Z,4.531666667,5.152013593,6,4.141663454
2020-04-04T09:00:00Z,3.496666667,2.641807505,5,4.56409305
2020-04-04T10:00:00Z,2.88,1.724824893,3,5.297458327
2020-04-04T11:00:00Z,5.511666667,5.891370272,6,3.2468512
2020-04-04T12:00:00Z,8.311666667,10.68306276,6,4.427385908
2020-04-04T13:00:00Z,9.59,11.14561151,6,3.786621483
2020-04-04T14:00:00Z,11.49833333,13.70420639,5,5.192222827
2020-04-04T15:00:00Z,11.605,13.41567696,7,6.236330264
2020-04-04T16:00:00Z,11.585,13.63177348,8,8.273462894
2020-04-04T17:00:00Z,11.07666667,12.23541123,11,10.59026469
2020-04-04T18:00:00Z,9.676666667,10.60371717,10,11.29196152
2020-04-04T19:00:00Z,13.37833333,17.66968282,7,11.94496968
2020-04-04T20:00:00Z,15.13666667,19.84507454,13,14.8269464
2020-04-04T21:00:00Z,11.195,13.61915032,15,11.58449258
2020-04-04T22:00:00Z,9.903333333,12.05508034,10,9.609846213
2020-04-04T23:00:00Z,6.926666667,7.007618525,8,10.13501542
2020-04-05T00:00:00Z,5.435,5.347973168,9,11.23940275
2020-04-05T01:00:00Z,5.628333333,5.677678159,13,13.75836055
2020-04-05T02:00:00Z,6.586666667,7.081554193,14,17.51607591
2020-04-05T03:00:00Z,9.321666667,12.66159325,16,24.76723512
2020-04-05T04:00:00Z,11.44166667,15.66440324,24,27.41696386
2020-04-05T05:00:00Z,12.85666667,17.85963136,20,27.16189473
2020-04-05T06:00:00Z,13.58666667,17.92665435,24,27.06223559
2020-04-05T07:00:00Z,9.981666667,10.96648282,22,24.91382173
2020-04-05T08:00:00Z,8.511666667,8.758030434,20,16.25644371
2020-04-05T09:00:00Z,8.491666667,8.837376028,12,13.25357934
2020-04-05T10:00:00Z,8.5,8.824452314,12,11.2404401
2020-04-05T11:00:00Z,8.451666667,8.854206912,11,9.237865071
2020-04-05T12:00:00Z,8.173333333,8.066761995,10,7.934388472
2020-04-05T13:00:00Z,7.138333333,6.277879495,7,8.431719626
2020-04-05T14:00:00Z,7.336666667,6.80564792,6,9.108197051
2020-04-05T15:00:00Z,7.611666667,7.734652592,9,7.873406177
2020-04-05T16:00:00Z,7.49,7.449729775,10,7.167290347
2020-04-05T17:00:00Z,8.215,9.484763949,7,7.718692427
2020-04-05T18:00:00Z,8.613333333,9.227491869,8,8.568414418
2020-04-05T19:00:00Z,8.831666667,10.51174841,8,14.07481014
2020-04-05T20:00:00Z,9.545,11.73920072,12,12.42283955
2020-04-05T21:00:00Z,9.223333333,11.13539276,15,10.70183619
2020-04-05T22:00:00Z,8.806666667,10.51445337,14,9.96326994
2020-04-05T23:00:00Z,9.145,10.84475947,9,9.205793251
2020-04-06T00:00:00Z,8.67,10.21330077,9,9.565089372
2020-04-06T01:00:00Z,7.445,8.739696792,9,8.80718839
2020-04-06T02:00:00Z,5.093333333,6.448292193,7,8.20628251
2020-04-06T03:00:00Z,3.641666667,3.117881073,12,7.522932041
2020-04-06T04:00:00Z,3.831666667,0.12829535,8,7.311518281
2020-04-06T05:00:00Z,4.565,-0.046325069,7,2.296014129
2020-04-06T06:00:00Z,6.271666667,0.247614294,6,1.238664041
2020-04-06T07:00:00Z,5.908333333,0.187203443,2,1.711038891
2020-04-06T08:00:00Z,6.7,0.177886347,3,1.918481227
2020-04-06T09:00:00Z,6.796666667,0.332970918,4,2.426971969
2020-04-06T10:00:00Z,4.82,0.755245769,4,3.296208087
2020-04-06T11:00:00Z,4.81,0.010479164,7,1.297889749
2020-04-06T12:00:00Z,6.323333333,0.362424965,6,1.646933066
2020-04-06T13:00:00Z,5.816666667,0.054514806,3,1.711575448
2020-04-06T14:00:00Z,5.853333333,0.448983795,4,1.638967744
2020-04-06T15:00:00Z,5.991666667,0.420431403,5,1.603772139
2020-04-06T16:00:00Z,5.486666667,0.099442406,4,1.949270344
2020-04-06T17:00:00Z,5.43,0.403901071,5,2.1135527
2020-04-06T18:00:00Z,6.333333333,2.041005066,4,2.55442397
2020-04-06T19:00:00Z,8.678333333,5.438439168,3,3.695221261
2020-04-06T20:00:00Z,14.20166667,14.71886824,6,13.48173331
2020-04-06T21:00:00Z,19.30166667,22.81812993,20,9.591581546
2020-04-06T22:00:00Z,19.95166667,22.21612529,13,14.44387002
2020-04-06T23:00:00Z,14.16166667,14.64553367,21,10.34953435
2020-04-07T00:00:00Z,14.98,16.69048605,12,12.07625333
2020-04-07T01:00:00Z,10.40833333,9.017105823,12,9.638136837
2020-04-07T02:00:00Z,9.173333333,7.444319848,12,5.328949132
2020-04-07T03:00:00Z,8.275,5.931043069,7,6.15248159
2020-04-07T04:00:00Z,7.51,5.184172603,10,6.985921195
2020-04-07T05:00:00Z,7.595,5.048323328,8,9.249132775
2020-04-07T06:00:00Z,8.688333333,6.08402378,14,13.82705777
2020-04-07T07:00:00Z,9.436666667,5.072667999,17,18.35261989
2020-04-07T08:00:00Z,8.501666667,2.270025305,23,13.99681722
2020-04-07T09:00:00Z,7.605,1.509277652,18,10.85218722
2020-04-07T10:00:00Z,5.836666667,0.69788891,15,6.5148558
2020-04-07T11:00:00Z,5.421666667,0.959019683,9,4.495771417
2020-04-07T12:00:00Z,5.478333333,1.36837082,10,4.068205491
2020-04-07T13:00:00Z,7.036666667,2.810416894,7,3.627148981
2020-04-07T14:00:00Z,9.051666667,4.835232317,8,4.318094291
