Timestamp,NO2_T500,T200U(b)
2021-07-01 00:00:00,6.160327777777777,6.332666666666666
2021-07-01 01:00:00,4.626111666666666,4.594666666666667
2021-07-01 02:00:00,5.121628333333333,5.09
2021-07-01 03:00:00,5.013655,4.998666666666666
2021-07-01 04:00:00,7.672404999999998,7.597333333333333
2021-07-01 05:00:00,9.825864999999999,9.773333333333332
2021-07-01 06:00:00,11.324933333333338,11.224666666666668
2021-07-01 07:00:00,12.788483333333335,12.606666666666666
2021-07-01 08:00:00,13.47230333333333,13.381333333333334
2021-07-01 09:00:00,9.564573333333332,21.15666666666667
2021-07-01 10:00:00,8.801588333333331,12.228666666666667
2021-07-01 11:00:00,6.570806666666665,6.216
2021-07-01 12:00:00,5.474016326530611,5.168
2021-07-01 13:00:00,5.761548333333335,5.737333333333333
2021-07-01 14:00:00,4.7663199999999994,4.676666666666666
2021-07-01 15:00:00,4.595885000000001,4.475333333333333
2021-07-01 16:00:00,3.629635000000001,3.4666666666666672
2021-07-01 17:00:00,3.748055,3.6486666666666667
2021-07-01 18:00:00,4.752146666666667,4.623333333333332
2021-07-01 19:00:00,6.314763333333331,6.189333333333335
2021-07-01 20:00:00,6.692433333333331,6.611333333333334
2021-07-01 21:00:00,7.159076666666668,7.095333333333333
2021-07-01 22:00:00,6.39785,6.414666666666666
2021-07-01 23:00:00,4.521345,4.522
2021-07-02 00:00:00,3.3431694444444453,3.6426666666666656
2021-07-02 01:00:00,3.5035916666666664,3.388666666666667
2021-07-02 02:00:00,3.153873333333333,3.056
2021-07-02 03:00:00,2.2519866666666677,2.197857142857143
2021-07-02 04:00:00,2.1761550000000005,2.1607142857142856
2021-07-02 05:00:00,2.7807999999999993,2.6600000000000006
2021-07-02 06:00:00,3.924485,3.796
2021-07-02 07:00:00,7.418008333333334,7.205333333333334
2021-07-02 08:00:00,9.702618333333334,9.430666666666665
2021-07-02 09:00:00,8.786951666666669,8.656666666666666
2021-07-02 10:00:00,6.397450000000001,6.197333333333335
2021-07-02 11:00:00,5.536935000000001,5.379333333333333
2021-07-02 12:00:00,5.966936734693876,5.801333333333333
2021-07-02 13:00:00,4.269066666666666,4.174666666666666
2021-07-02 14:00:00,3.5156183333333337,3.3680000000000003
2021-07-02 15:00:00,3.1420233333333343,3.0420000000000003
2021-07-02 16:00:00,3.510211666666666,3.372
2021-07-02 17:00:00,3.575006666666666,3.4473333333333334
2021-07-02 18:00:00,5.914626666666667,5.759333333333334
2021-07-02 19:00:00,8.270016666666665,8.201999999999998
2021-07-02 20:00:00,9.620320000000003,9.485333333333331
2021-07-02 21:00:00,12.805378333333332,12.386666666666667
2021-07-02 22:00:00,11.66566,11.433333333333334
2021-07-02 23:00:00,9.869959999999999,9.578
2021-07-03 00:00:00,9.894666666666666,9.241999999999999
2021-07-03 01:00:00,8.721916666666667,8.684000000000001
2021-07-03 02:00:00,6.782371666666666,6.759333333333333
2021-07-03 03:00:00,5.270319999999999,5.207333333333333
2021-07-03 04:00:00,6.022406666666666,5.981999999999999
2021-07-03 05:00:00,6.766348333333334,6.617333333333334
2021-07-03 06:00:00,4.162849999999999,4.102666666666667
2021-07-03 07:00:00,3.9375616666666664,3.8693333333333326
2021-07-03 08:00:00,4.881025,4.756666666666666
2021-07-03 09:00:00,8.048341666666667,7.776
2021-07-03 10:00:00,10.620101666666663,10.299333333333331
2021-07-03 11:00:00,8.698413333333333,8.469333333333331
2021-07-03 12:00:00,5.615963999999999,6.172666666666667
2021-07-03 13:00:00,3.9807866666666665,3.905333333333333
2021-07-03 14:00:00,3.2723999999999993,3.3179999999999996
2021-07-03 15:00:00,2.472818333333333,2.3920000000000003
2021-07-03 16:00:00,2.846411666666667,2.7646666666666673
2021-07-03 17:00:00,3.1331400000000005,2.9793333333333334
2021-07-03 18:00:00,5.628588333333335,5.397333333333333
2021-07-03 19:00:00,6.265265,6.228666666666666
2021-07-03 20:00:00,5.168283333333334,5.113333333333333
2021-07-03 21:00:00,7.9627550000000005,7.824
2021-07-03 22:00:00,10.903686666666667,10.735999999999999
2021-07-03 23:00:00,11.649799999999997,11.520666666666669
2021-07-04 00:00:00,9.946313888888891,11.275333333333334
2021-07-04 01:00:00,5.505128333333332,5.506666666666667
2021-07-04 02:00:00,3.3061749999999988,3.278666666666666
2021-07-04 03:00:00,3.305416666666666,3.244666666666667
2021-07-04 04:00:00,3.3024000000000004,3.3040000000000003
2021-07-04 05:00:00,2.2910166666666667,2.2640000000000002
2021-07-04 06:00:00,2.1193966666666664,2.066666666666667
2021-07-04 07:00:00,1.7176333333333327,1.6773333333333333
2021-07-04 08:00:00,1.4523399999999997,1.4026666666666665
2021-07-04 09:00:00,1.5309449999999996,1.5046666666666668
2021-07-04 10:00:00,3.9348700000000005,3.791333333333333
2021-07-04 11:00:00,4.760856666666667,4.596666666666667
2021-07-04 12:00:00,5.064779591836735,4.8613333333333335
2021-07-04 13:00:00,4.861131666666664,4.691999999999999
2021-07-04 14:00:00,4.240156666666667,4.15
2021-07-04 15:00:00,3.305873333333333,3.177333333333333
2021-07-04 16:00:00,3.263463333333334,3.1466666666666665
2021-07-04 17:00:00,4.8342316666666685,4.696666666666667
2021-07-04 18:00:00,5.775400000000003,5.689333333333335
2021-07-04 19:00:00,7.0990366666666675,6.95
2021-07-04 20:00:00,7.7991383333333335,7.719999999999999
2021-07-04 21:00:00,6.897131666666666,6.761333333333332
2021-07-04 22:00:00,5.719281666666668,5.664000000000001
2021-07-04 23:00:00,5.348086666666666,5.267333333333334
