Timestamp,O3_49i,2B
2021-06-15T00:00:00Z,14.065298333333336,14.999500000000005
2021-06-15T01:00:00Z,13.015971666666662,13.342499999999996
2021-06-15T02:00:00Z,11.758651666666667,11.698833333333337
2021-06-15T03:00:00Z,8.842189999999995,7.64909090909091
2021-06-15T04:00:00Z,13.829796666666669,13.597192982456136
2021-06-15T05:00:00Z,15.201596666666664,16.380666666666663
2021-06-15T06:00:00Z,10.863808333333337,12.94655172413793
2021-06-15T07:00:00Z,17.886338333333324,19.876
2021-06-15T08:00:00Z,26.55698333333333,24.448166666666665
2021-06-15T09:00:00Z,29.77306333333333,11.873333333333337
2021-06-15T10:00:00Z,32.24305666666667,14.351666666666668
2021-06-15T11:00:00Z,34.989985,20.77566666666667
2021-06-15T12:00:00Z,37.53302833333333,26.49166666666667
2021-06-15T13:00:00Z,41.136471666666665,31.435000000000013
2021-06-15T14:00:00Z,42.24927307692308,31.776333333333323
2021-06-15T15:00:00Z,44.62084666666666,31.307666666666663
2021-06-15T16:00:00Z,41.13765666666667,46.29666666666667
2021-06-15T17:00:00Z,39.33880666666666,42.53666666666666
2021-06-15T18:00:00Z,38.45579,43.21516666666665
2021-06-15T19:00:00Z,37.68426333333333,44.24666666666666
2021-06-15T20:00:00Z,34.973973333333326,41.27166666666666
2021-06-15T21:00:00Z,32.188024999999996,37.103833333333334
2021-06-15T22:00:00Z,31.657591666666672,38.641333333333314
2021-06-15T23:00:00Z,29.349715000000003,33.33666666666665
2021-06-16T00:00:00Z,30.706931666666673,36.72333333333334
2021-06-16T01:00:00Z,29.338853333333343,32.50633333333333
2021-06-16T02:00:00Z,27.474511666666668,32.61666666666668
2021-06-16T03:00:00Z,31.098865,37.760000000000005
2021-06-16T04:00:00Z,33.31741,39.806666666666665
2021-06-16T05:00:00Z,31.87319666666666,38.87499999999999
2021-06-16T06:00:00Z,32.095605000000006,38.85593220338984
2021-06-16T07:00:00Z,32.17429166666667,35.56666666666668
2021-06-16T08:00:00Z,34.20967,31.98783333333333
2021-06-16T09:00:00Z,32.74209666666668,27.51525423728813
2021-06-16T10:00:00Z,27.828171666666663,23.19833333333333
2021-06-16T11:00:00Z,25.55073499999999,17.51333333333334
2021-06-16T12:00:00Z,23.142885000000003,17.937288135593228
2021-06-16T13:00:00Z,22.995918333333325,17.200000000000003
2021-06-16T14:00:00Z,22.262636666666673,17.586666666666662
2021-06-16T15:00:00Z,21.82601153846154,16.613333333333333
2021-06-16T16:00:00Z,19.72040666666667,15.291666666666666
2021-06-16T17:00:00Z,20.67135,21.09833333333333
2021-06-16T18:00:00Z,22.55587166666667,23.754166666666663
2021-06-16T19:00:00Z,22.603955,24.964999999999996
2021-06-16T20:00:00Z,22.19622833333333,25.07666666666666
2021-06-16T21:00:00Z,22.42167,24.73833333333333
2021-06-16T22:00:00Z,26.98687666666667,31.44683333333334
2021-06-16T23:00:00Z,31.78277333333334,36.68999999999998
2021-06-17T00:00:00Z,29.796085000000005,34.861666666666665
2021-06-17T01:00:00Z,29.183585000000004,34.758833333333335
2021-06-17T02:00:00Z,29.342528333333338,32.716833333333334
2021-06-17T03:00:00Z,29.412065,34.10666666666667
2021-06-17T04:00:00Z,26.813963333333337,28.064999999999987
2021-06-17T05:00:00Z,25.109146666666675,28.139666666666667
2021-06-17T06:00:00Z,26.503149999999987,31.438333333333336
2021-06-17T07:00:00Z,26.78271999999999,31.11166666666666
2021-06-17T08:00:00Z,27.329451666666664,17.467333333333332
2021-06-17T09:00:00Z,29.590678333333337,16.77423728813559
2021-06-17T10:00:00Z,32.15665333333334,20.20500000000001
2021-06-17T11:00:00Z,34.539995,23.306666666666665
2021-06-17T12:00:00Z,34.59489666666666,21.33283333333334
2021-06-17T13:00:00Z,35.59364333333335,29.629999999999995
2021-06-17T14:00:00Z,35.96043999999999,29.351666666666667
2021-06-17T15:00:00Z,34.371491666666664,31.9542372881356
2021-06-17T16:00:00Z,32.85484999999999,26.963333333333335
2021-06-17T17:00:00Z,31.85445499999999,35.799833333333325
2021-06-17T18:00:00Z,30.727291666666662,34.71
2021-06-17T19:00:00Z,30.54085166666666,34.725
2021-06-17T20:00:00Z,28.037351666666662,31.333833333333335
2021-06-17T21:00:00Z,27.950075,32.53299999999999
2021-06-17T22:00:00Z,26.434491666666663,29.928333333333324
2021-06-17T23:00:00Z,27.248904999999993,31.145666666666656
2021-06-18T00:00:00Z,25.613460000000007,28.59666666666667
2021-06-18T01:00:00Z,21.472178333333325,24.358333333333324
2021-06-18T02:00:00Z,17.26662166666667,19.603389830508476
2021-06-18T03:00:00Z,14.440834999999998,15.068333333333332
2021-06-18T04:00:00Z,7.041005,5.1
2021-06-18T05:00:00Z,9.454661666666665,8.917241379310344
2021-06-18T06:00:00Z,15.258310000000003,15.278666666666668
2021-06-18T07:00:00Z,15.963633333333338,16.069499999999998
2021-06-18T08:00:00Z,19.18961999999999,19.665000000000003
2021-06-18T09:00:00Z,21.091035,23.758333333333336
2021-06-18T10:00:00Z,23.85214666666667,18.451000000000008
2021-06-18T11:00:00Z,25.812988333333337,16.358333333333334
2021-06-18T12:00:00Z,25.5546,18.935593220338983
2021-06-18T13:00:00Z,25.734649999999995,18.37166666666667
2021-06-18T14:00:00Z,25.02365,15.356499999999995
2021-06-18T15:00:00Z,24.967475,12.518644067796608
2021-06-18T16:00:00Z,29.987870000000004,27.566666666666663
2021-06-18T17:00:00Z,36.525418518518514,43.46516666666664
2021-06-18T18:00:00Z,31.68901833333334,37.469999999999985
