Timestamp,O3_49i,49i
2021-07-01T00:00:00Z,21.341471666666667,22.898833333333336
2021-07-01T01:00:00Z,23.206250000000008,24.75383333333334
2021-07-01T02:00:00Z,22.190470000000005,23.67250000000001
2021-07-01T03:00:00Z,21.124616666666665,22.526000000000003
2021-07-01T04:00:00Z,17.336016666666676,18.531166666666667
2021-07-01T05:00:00Z,14.238884615384617,15.167499999999997
2021-07-01T06:00:00Z,16.431645,17.515499999999996
2021-07-01T07:00:00Z,19.654166666666672,20.791666666666668
2021-07-01T08:00:00Z,20.177190000000007,21.75616666666667
2021-07-01T09:00:00Z,24.31885833333332,26.15016666666667
2021-07-01T10:00:00Z,25.903651666666654,27.80616666666667
2021-07-01T11:00:00Z,30.78535333333333,33.096
2021-07-01T12:00:00Z,35.63416833333333,38.1485
2021-07-01T13:00:00Z,38.07349666666667,40.75600000000001
2021-07-01T14:00:00Z,42.708009999999994,45.474
2021-07-01T15:00:00Z,43.15026166666666,46.151666666666664
2021-07-01T16:00:00Z,41.259865,44.304333333333346
2021-07-01T17:00:00Z,40.41849833333334,43.20899999999999
2021-07-01T18:00:00Z,36.72793666666667,39.35616666666665
2021-07-01T19:00:00Z,31.403215,33.50183333333332
2021-07-01T20:00:00Z,28.107874999999993,30.065999999999995
2021-07-01T21:00:00Z,26.428425,28.276333333333337
2021-07-01T22:00:00Z,26.255745,28.131000000000007
2021-07-01T23:00:00Z,27.386615000000003,29.31633333333332
2021-07-02T00:00:00Z,28.25549166666668,30.18283333333334
2021-07-02T01:00:00Z,27.401969999999995,29.27183333333333
2021-07-02T02:00:00Z,28.340488333333333,30.361666666666668
2021-07-02T03:00:00Z,30.55589000000001,32.56383333333333
2021-07-02T04:00:00Z,30.12854500000001,32.133
2021-07-02T05:00:00Z,29.615720000000007,31.585166666666662
2021-07-02T06:00:00Z,30.59175384615385,31.779333333333327
2021-07-02T07:00:00Z,26.77083500000001,28.47766666666667
2021-07-02T08:00:00Z,25.119801666666667,26.816999999999997
2021-07-02T09:00:00Z,25.12613499999999,27.12116666666667
2021-07-02T10:00:00Z,25.174538333333327,27.136833333333335
2021-07-02T11:00:00Z,25.737411666666667,27.841
2021-07-02T12:00:00Z,26.57026333333334,28.76283333333334
2021-07-02T13:00:00Z,31.61961666666667,34.386833333333335
2021-07-02T14:00:00Z,37.97929666666669,41.66383333333332
2021-07-02T15:00:00Z,42.37297666666665,45.55050000000001
2021-07-02T16:00:00Z,42.42034666666666,45.507666666666665
2021-07-02T17:00:00Z,43.806259999999995,46.72033333333333
2021-07-02T18:00:00Z,40.22194666666666,42.733
2021-07-02T19:00:00Z,35.46909666666666,37.82650000000001
2021-07-02T20:00:00Z,26.65541333333334,28.68183333333333
2021-07-02T21:00:00Z,19.616195,21.196666666666673
2021-07-02T22:00:00Z,20.20441166666667,21.93699999999999
2021-07-02T23:00:00Z,18.565290000000005,19.986166666666676
2021-07-03T00:00:00Z,18.745374999999992,20.270666666666664
2021-07-03T01:00:00Z,17.463778333333334,18.90266666666667
2021-07-03T02:00:00Z,18.645469999999996,20.1375
2021-07-03T03:00:00Z,17.66904,19.146333333333335
2021-07-03T04:00:00Z,13.915970000000003,15.060833333333331
2021-07-03T05:00:00Z,16.600808333333333,18.047833333333337
2021-07-03T06:00:00Z,22.270280000000007,23.997166666666665
2021-07-03T07:00:00Z,23.665033333333337,26.546833333333336
2021-07-03T08:00:00Z,25.015635,26.659833333333324
2021-07-03T09:00:00Z,21.43354833333334,23.006666666666675
2021-07-03T10:00:00Z,18.58695166666667,20.130166666666675
2021-07-03T11:00:00Z,22.718144999999996,24.604333333333336
2021-07-03T12:00:00Z,26.51302333333332,28.55216666666666
2021-07-03T13:00:00Z,28.31406833333334,30.448666666666664
2021-07-03T14:00:00Z,29.598579999999995,32.02566666666666
2021-07-03T15:00:00Z,32.36209,34.87116666666667
2021-07-03T16:00:00Z,32.62684499999999,35.010999999999996
2021-07-03T17:00:00Z,31.51391,33.82700000000001
2021-07-03T18:00:00Z,24.62299999999999,26.339666666666655
2021-07-03T19:00:00Z,18.444555,20.03166666666667
2021-07-03T20:00:00Z,17.103223333333332,18.463833333333337
2021-07-03T21:00:00Z,12.780438333333336,13.822499999999998
2021-07-03T22:00:00Z,8.630525,9.427166666666666
2021-07-03T23:00:00Z,4.595534999999998,5.105833333333333
2021-07-04T00:00:00Z,3.5846216666666666,4.154
2021-07-04T01:00:00Z,6.636525000000002,7.404500000000002
2021-07-04T02:00:00Z,8.891759999999998,9.746499999999996
2021-07-04T03:00:00Z,8.943673333333333,9.78833333333333
2021-07-04T04:00:00Z,8.800576666666666,9.626333333333331
2021-07-04T05:00:00Z,11.10624,12.123
2021-07-04T06:00:00Z,12.229316666666668,13.228666666666673
2021-07-04T07:00:00Z,14.162139999999996,15.354000000000005
2021-07-04T08:00:00Z,15.06258461538462,16.560000000000002
2021-07-04T09:00:00Z,17.11322666666667,18.32166666666667
2021-07-04T10:00:00Z,13.878833333333336,14.956
2021-07-04T11:00:00Z,13.060304999999998,14.28283333333333
2021-07-04T12:00:00Z,13.081723333333334,14.256166666666664
2021-07-04T13:00:00Z,15.360015,16.499000000000002
2021-07-04T14:00:00Z,17.248659999999997,18.557166666666664
2021-07-04T15:00:00Z,20.22186,21.931500000000007
2021-07-04T16:00:00Z,21.71530333333333,23.325999999999983
2021-07-04T17:00:00Z,19.074893333333325,20.455666666666666
2021-07-04T18:00:00Z,18.905786666666668,20.393499999999996
2021-07-04T19:00:00Z,14.580786666666668,15.65133333333333
