Timestamp,PM2.5_Fidas200,LCS3,PM2.5_BAM1020,LCS4
4/4/2020 21:00,11.195,16.409,15,21.11533333
4/4/2020 22:00,9.903333333,14.67433333,10,17.30821429
4/4/2020 23:00,6.926666667,9.076333333,8,18.32074074
4/5/2020 0:00,5.435,7.235666667,9,20.45
4/5/2020 1:00,5.628333333,7.601333333,13,25.30655172
4/5/2020 2:00,6.586666667,9.158333333,14,32.55142857
4/5/2020 3:00,9.321666667,15.347,16,46.53166667
4/5/2020 4:00,11.44166667,18.67733333,24,51.64034483
4/5/2020 5:00,12.85666667,21.112,20,51.14857143
4/5/2020 6:00,13.58666667,21.18633333,24,50.95642857
4/5/2020 7:00,9.981666667,13.467,22,46.81428571
4/5/2020 8:00,8.511666667,11.01766667,20,30.12285714
4/5/2020 9:00,8.491666667,11.10566667,12,24.33333333
4/5/2020 10:00,8.5,11.09133333,12,20.452
4/5/2020 11:00,8.451666667,11.12433333,11,16.59103448
4/5/2020 12:00,8.173333333,10.251,10,14.07793103
4/5/2020 13:00,7.138333333,8.267,7,15.03678571
4/5/2020 14:00,7.336666667,8.852333333,6,16.34103448
4/5/2020 15:00,7.611666667,9.882666667,9,13.96035714
4/5/2020 16:00,7.49,9.566666667,10,12.59896552
4/5/2020 17:00,8.215,11.82366667,7,13.66206897
4/5/2020 18:00,8.613333333,11.53833333,8,15.30033333
4/5/2020 19:00,8.831666667,12.96266667,8,25.91666667
4/5/2020 20:00,9.545,14.324,12,22.73166667
4/5/2020 21:00,9.223333333,13.65433333,15,19.41357143
4/5/2020 22:00,8.806666667,12.96566667,14,17.98961538
4/5/2020 23:00,9.145,13.332,9,16.5292
4/6/2020 0:00,8.67,12.63166667,9,17.22192308
4/6/2020 1:00,7.445,10.99733333,9,15.76068966
4/6/2020 2:00,5.093333333,8.456,7,14.60214286
4/6/2020 3:00,3.641666667,4.762333333,12,13.28464286
4/6/2020 4:00,3.831666667,1.446666667,8,12.87703704
4/6/2020 5:00,4.565,1.253,7,3.207142857
4/6/2020 6:00,6.271666667,1.579,6,1.168571429
4/6/2020 7:00,5.908333333,1.512,2,2.079310345
4/6/2020 8:00,6.7,1.501666667,3,2.479259259
4/6/2020 9:00,6.796666667,1.673666667,4,3.45962963
4/6/2020 10:00,4.82,2.142,4,5.135517241
4/6/2020 11:00,4.81,1.316,7,1.282758621
4/6/2020 12:00,6.323333333,1.706333333,6,1.955714286
4/6/2020 13:00,5.816666667,1.36483871,3,2.080344828
4/6/2020 14:00,5.853333333,1.802333333,4,1.940357143
4/6/2020 15:00,5.991666667,1.770666667,5,1.8725
4/6/2020 16:00,5.486666667,1.414666667,4,2.53862069
4/6/2020 17:00,5.43,1.752333333,5,2.855357143
4/6/2020 18:00,6.333333333,3.568,4,3.705357143
4/6/2020 19:00,8.678333333,7.336,3,5.904814815
4/6/2020 20:00,14.20166667,17.62866667,6,24.77321429
4/6/2020 21:00,19.30166667,26.61133333,20,17.273
4/6/2020 22:00,19.95166667,25.94366667,13,26.62821429
4/6/2020 23:00,14.16166667,17.54733333,21,18.73433333
4/7/2020 0:00,14.98,19.81533333,12,22.06344828
4/7/2020 1:00,10.40833333,11.305,12,17.36275862
4/7/2020 2:00,9.173333333,9.560666667,12,9.054642857
4/7/2020 3:00,8.275,7.882333333,7,10.64241379
4/7/2020 4:00,7.51,7.054,10,12.24928571
4/7/2020 5:00,7.595,6.903333333,8,16.61275862
4/7/2020 6:00,8.688333333,8.052,14,25.439
4/7/2020 7:00,9.436666667,6.930333333,17,34.16428571
4/7/2020 8:00,8.501666667,3.822,23,25.7662963
4/7/2020 9:00,7.605,2.978275862,18,19.70344828
4/7/2020 10:00,5.836666667,2.078387097,15,11.34107143
4/7/2020 11:00,5.421666667,2.368,9,7.448275862
4/7/2020 12:00,5.478333333,2.822,10,6.623928571
4/7/2020 13:00,7.036666667,4.421333333,7,5.773571429
4/7/2020 14:00,9.051666667,6.667,8,7.105714286
4/7/2020 15:00,8.793333333,5.747666667,7,6.391481481
4/7/2020 16:00,8.553333333,5.562333333,6,6.35137931
4/7/2020 17:00,8.131666667,5.389,8,6.9225
4/7/2020 18:00,8.243333333,6.151333333,10,12.26862069
4/7/2020 19:00,12.32666667,15.84666667,10,14.08214286
4/7/2020 20:00,22.535,29.30933333,12,13.37740741
4/7/2020 21:00,19.58,27.89133333,11,13.66321429
4/7/2020 22:00,20.58166667,30.257,14,15.90448276
4/7/2020 23:00,19.00666667,28.65966667,17,17.38962963
4/8/2020 0:00,19.00166667,29.977,12,16.11185185
4/8/2020 1:00,18.80833333,28.792,11,16.26607143
4/8/2020 2:00,12.43,16.199,9,17.48535714
4/8/2020 3:00,11.20166667,14.53233333,10,21.79137931
4/8/2020 4:00,12.865,19.81666667,10,20.23178571
4/8/2020 5:00,14.14166667,21.925,13,22.9637037
4/8/2020 6:00,15.105,20.634,14,33.7662069
4/8/2020 7:00,12.605,16.33766667,21,31.86068966
4/8/2020 8:00,13.135,15.93333333,18,28.7875
4/8/2020 9:00,12.21666667,13.31633333,20,20.83769231
4/8/2020 10:00,11.20666667,11.36166667,16,17.8556
4/8/2020 11:00,11.27666667,12.33266667,15,11.58
4/8/2020 12:00,9.621666667,10.45333333,12,9.735172414
4/8/2020 13:00,8.11,9.457,11,10.84827586
4/8/2020 14:00,9.94,12.38866667,9,13.05071429
4/8/2020 15:00,9.623333333,12.06333333,10,12.12206897
4/8/2020 16:00,12.25833333,14.74033333,7,21.9762069
4/8/2020 17:00,10.39333333,13.40033333,18,20.71142857
4/8/2020 18:00,8.376666667,10.401,10,12.89448276
4/8/2020 19:00,8.115,10.82666667,16,13.81517241
4/8/2020 20:00,6.13,8.96,10,21.48827586
4/8/2020 21:00,8.131666667,13.594,13,24.37807692
4/8/2020 22:00,15.04833333,26.80666667,17,14.77185185
4/8/2020 23:00,17.87666667,31.186,6,10.89066667
4/9/2020 0:00,18.73166667,32.94433333,5,11.60321429
4/9/2020 1:00,18.54,33.166,6,11.95666667
4/9/2020 2:00,16.8,31.554,8,13.37241379
4/9/2020 3:00,14.935,26.676,8,15.80777778
4/9/2020 4:00,12.95833333,24.00766667,9,15.25482759
4/9/2020 5:00,11.60166667,20.23666667,6,16.30214286
4/9/2020 6:00,6.193333333,7.219,6,11.68821429
4/9/2020 7:00,6.908333333,7.638333333,8,6.88
4/9/2020 8:00,6.666666667,7.481333333,6,7.239310345
4/9/2020 9:00,7.425,9.476333333,5,7.665357143
4/9/2020 10:00,7.955,10.386,4,7.054137931
4/9/2020 11:00,9.636666667,13.75709677,4,6.908148148
